pair,symbol,direction,expiry,entry_price,close_price,result,pnl_pct,entry_time,strategy,confidence,session
AUD/USD OTC,#AUDUSD_otc,SELL,1m,0.67344,0.67333,WIN,0.01633,2026-04-01 13:03:20,level_breakout,55.9,BEAR
NZD/JPY OTC,#NZDJPY_otc,SELL,1m,91.603,91.628,LOSS,-0.02729,2026-04-01 13:03:20,level_breakout,56.7,BEAR
CAD/JPY OTC,#CADJPY_otc,SELL,1m,114.527,114.484,WIN,0.03755,2026-04-01 13:05:00,level_touch,64.7,BEAR
AUD/CHF OTC,#AUDCHF_otc,SELL,1m,0.52709,0.52526,WIN,0.34719,2026-04-01 13:05:00,ema_bounce,64.7,BEAR
KES/USD OTC,#KESUSD_otc,SELL,1m,0.0074977,0.0074936,WIN,0.05468,2026-04-01 13:05:50,level_breakout,57.7,BEAR
EUR/USD OTC,#EURUSD_otc,SELL,1m,1.14014,1.14029,LOSS,-0.01316,2026-04-01 13:07:30,ema_bounce,88,BEAR
NZD/JPY OTC,#NZDJPY_otc,SELL,1m,91.549,91.531,WIN,0.01966,2026-04-01 13:07:30,ema_bounce,86,BEAR
AUD/NZD OTC,#AUDNZD_otc,SELL,1m,1.19531,1.19605,LOSS,-0.06191,2026-04-01 13:08:20,level_touch,64.7,BEAR
EUR/CHF OTC,#EURCHF_otc,SELL,1m,0.84131,0.83929,WIN,0.2401,2026-04-01 13:08:20,level_touch,64.7,BEAR
EUR/GBP OTC,#EURGBP_otc,SELL,1m,0.86753,0.86763,LOSS,-0.01153,2026-04-01 13:08:20,level_touch,63.9,BEAR
KES/USD OTC,#KESUSD_otc,SELL,1m,0.0074934,0.0074895,WIN,0.05205,2026-04-01 13:10:00,level_breakout,67.6,BEAR
GBP/USD OTC,#GBPUSD_otc,SELL,1m,1.34543,1.34501,WIN,0.03122,2026-04-01 13:10:00,level_touch,64.4,BEAR
EUR/USD OTC,#EURUSD_otc,BUY,1m,1.14066,1.14014,LOSS,-0.04559,2026-04-01 13:10:50,level_breakout,63.4,BULL
AUD/CAD OTC,#AUDCAD_otc,BUY,1m,0.95765,0.95802,WIN,0.03864,2026-04-01 13:10:50,level_touch,61.9,BULL
BHD/CNY OTC,#BHDCNY_otc,BUY,1m,18.30525,18.30311,LOSS,-0.01169,2026-04-01 13:10:50,level_touch,66.5,BULL
AUD/JPY OTC,#AUDJPY_otc,BUY,1m,109.363,109.397,WIN,0.03109,2026-04-01 13:10:50,level_breakout,56.3,BULL
EUR/JPY OTC,#EURJPY_otc,BUY,1m,185.574,185.509,LOSS,-0.03503,2026-04-01 13:12:30,ema_bounce,63.6,BULL
GBP/AUD OTC,#GBPAUD_otc,BUY,1m,1.95975,1.95986,WIN,0.00561,2026-04-01 13:12:30,level_breakout,58.8,BULL
USD/JPY OTC,#USDJPY_otc,BUY,1m,162.659,162.674,WIN,0.00922,2026-04-01 13:12:30,level_touch,65.6,BULL
CHF/JPY OTC,#CHFJPY_otc,BUY,1m,200.945,200.744,LOSS,-0.10003,2026-04-01 13:12:30,level_touch,65.1,BULL
AUD/USD OTC,#AUDUSD_otc,BUY,1m,0.67484,0.67533,WIN,0.07261,2026-04-01 13:13:20,level_touch,61.9,BULL
AUD/NZD OTC,#AUDNZD_otc,BUY,1m,1.19846,1.19927,WIN,0.06759,2026-04-01 13:13:20,ema_bounce,60.0,BULL
GBP/USD OTC,#GBPUSD_otc,BUY,1m,1.34509,1.34592,WIN,0.06171,2026-04-01 13:13:20,level_touch,61.6,BULL
BHD/CNY OTC,#BHDCNY_otc,BUY,1m,18.30403,18.3037,LOSS,-0.0018,2026-04-01 13:14:10,level_touch,63.1,BULL
EUR/USD OTC,#EURUSD_otc,BUY,1m,1.14016,1.13906,LOSS,-0.09648,2026-04-01 13:15:00,level_touch,66.4,BULL
AUD/CAD OTC,#AUDCAD_otc,BUY,1m,0.95922,0.9589,LOSS,-0.03336,2026-04-01 13:15:00,level_touch,62.8,BULL
EUR/GBP OTC,#EURGBP_otc,BUY,1m,0.86765,0.86821,WIN,0.06454,2026-04-01 13:15:00,level_touch,57.2,BULL
EUR/JPY OTC,#EURJPY_otc,BUY,1m,185.556,185.595,WIN,0.02102,2026-04-01 13:15:50,ema_bounce,59.0,BULL
USD/CHF OTC,#USDCHF_otc,BUY,1m,0.7914,0.79109,LOSS,-0.03917,2026-04-01 13:15:50,ema_bounce,71.7,BULL
AUD/USD OTC,#AUDUSD_otc,BUY,1m,0.67461,0.67481,WIN,0.02965,2026-04-01 13:16:40,level_touch,62.0,BULL
AUD/NZD OTC,#AUDNZD_otc,BUY,1m,1.19953,1.19934,LOSS,-0.01584,2026-04-01 13:16:40,ema_bounce,61.9,BULL
CHF/JPY OTC,#CHFJPY_otc,BUY,1m,200.721,200.728,WIN,0.00349,2026-04-01 13:16:40,level_touch,66.0,BULL
AUD/CAD OTC,#AUDCAD_otc,BUY,1m,0.95854,0.95754,LOSS,-0.10433,2026-04-01 13:18:20,level_touch,63.8,BULL
KES/USD OTC,#KESUSD_otc,BUY,1m,0.0075108,0.0075068,LOSS,-0.05326,2026-04-01 13:18:20,level_touch,61.9,BULL
GBP/AUD OTC,#GBPAUD_otc,BUY,1m,1.96074,1.96093,WIN,0.00969,2026-04-01 13:18:20,ema_bounce,58.9,BULL
GBP/USD OTC,#GBPUSD_otc,BUY,1m,1.34477,1.34486,WIN,0.00669,2026-04-01 13:18:20,level_touch,61.9,BULL
BHD/CNY OTC,#BHDCNY_otc,BUY,1m,18.30276,18.30257,LOSS,-0.00104,2026-04-01 13:19:10,level_touch,67.7,BULL
USD/CHF OTC,#USDCHF_otc,BUY,1m,0.79107,0.79081,LOSS,-0.03287,2026-04-01 13:19:10,ema_bounce,68.9,BULL
EUR/GBP OTC,#EURGBP_otc,BUY,1m,0.86757,0.86814,WIN,0.0657,2026-04-01 13:19:10,level_touch,62.9,BULL
AUD/JPY OTC,#AUDJPY_otc,BUY,1m,109.285,109.328,WIN,0.03935,2026-04-01 13:20:50,level_touch,62.3,BULL
EUR/USD OTC,#EURUSD_otc,SELL,1m,1.13956,1.13991,LOSS,-0.03071,2026-04-01 13:21:40,level_touch,64.7,NEUTRAL
KES/USD OTC,#KESUSD_otc,SELL,1m,0.0075053,0.0075026,WIN,0.03597,2026-04-01 13:21:40,level_touch,64.7,NEUTRAL
EUR/CHF OTC,#EURCHF_otc,SELL,1m,0.84058,0.84011,WIN,0.05591,2026-04-01 13:21:40,level_touch,64.7,NEUTRAL
EUR/GBP OTC,#EURGBP_otc,BUY,1m,0.86804,0.86887,WIN,0.09562,2026-04-01 13:23:20,ema_bounce,76,BULL
EUR/USD OTC,#EURUSD_otc,BUY,1m,1.13993,1.13968,LOSS,-0.02193,2026-04-01 13:25:00,level_touch,61.1,BULL
