pair,symbol,direction,expiry,entry_price,close_price,result,pnl_pct,entry_time,strategy,confidence
EUR/USD OTC,#EURUSD_otc,SELL,1m,1.14367,1.14387,LOSS,-0.01749,2026-03-26 08:48:03,ema_bounce,71.7
AUD/NZD OTC,#AUDNZD_otc,BUY,1m,1.18057,1.181,WIN,0.03642,2026-03-26 08:48:03,ema_bounce,69.7
CAD/CHF OTC,#CADCHF_otc,BUY,1m,0.60506,0.60484,LOSS,-0.03636,2026-03-26 08:48:03,level_breakout,57.7
AUD/JPY OTC,#AUDJPY_otc,BUY,1m,112.139,112.136,LOSS,-0.00268,2026-03-26 08:48:03,ema_bounce,78
AUD/CHF OTC,#AUDCHF_otc,BUY,1m,0.53676,0.53721,WIN,0.08384,2026-03-26 08:48:03,ema_bounce,67.6
CHF/JPY OTC,#CHFJPY_otc,SELL,1m,209.552,209.617,LOSS,-0.03102,2026-03-26 08:48:53,level_bounce,85
EUR/JPY OTC,#EURJPY_otc,SELL,1m,186.886,186.891,LOSS,-0.00268,2026-03-26 08:49:43,level_bounce,65.0
BHD/CNY OTC,#BHDCNY_otc,SELL,1m,18.42388,18.42664,LOSS,-0.01498,2026-03-26 08:49:43,ema_bounce,67.6
GBP/AUD OTC,#GBPAUD_otc,SELL,1m,1.91936,1.91786,WIN,0.07815,2026-03-26 08:49:43,level_bounce,64.7
USD/JPY OTC,#USDJPY_otc,SELL,1m,156.915,156.94,LOSS,-0.01593,2026-03-26 08:50:33,level_bounce,61.6
USD/CAD OTC,#USDCAD_otc,BUY,1m,1.41088,1.41061,LOSS,-0.01914,2026-03-26 08:50:33,level_breakout,63.6
USD/CHF OTC,#USDCHF_otc,BUY,1m,0.77376,0.774,WIN,0.03102,2026-03-26 08:50:33,ema_bounce,55.6
CAD/CHF OTC,#CADCHF_otc,BUY,1m,0.60574,0.60559,LOSS,-0.02476,2026-03-26 08:51:23,level_breakout,56.1
KES/USD OTC,#KESUSD_otc,BUY,1m,0.00692,0.007043,WIN,1.77746,2026-03-26 08:51:23,ema_bounce,60.1
AED/CNY OTC,#AEDCNY_otc,BUY,1m,1.77559,1.77359,LOSS,-0.11264,2026-03-26 08:52:13,ema_bounce,58.4
NZD/USD OTC,#NZDUSD_otc,SELL,1m,0.60863,0.60904,LOSS,-0.06736,2026-03-26 08:52:13,level_bounce,61.9
EUR/JPY OTC,#EURJPY_otc,SELL,1m,186.829,186.803,WIN,0.01392,2026-03-26 08:53:03,ema_bounce,81
BHD/CNY OTC,#BHDCNY_otc,SELL,1m,18.42649,18.42843,LOSS,-0.01053,2026-03-26 08:53:03,level_bounce,59.5
GBP/AUD OTC,#GBPAUD_otc,BUY,1m,1.91957,1.91925,LOSS,-0.01667,2026-03-26 08:53:03,ema_bounce,86
USD/CHF OTC,#USDCHF_otc,SELL,1m,0.77272,0.77322,LOSS,-0.06471,2026-03-26 08:53:53,level_breakout,60.4
AUD/CHF OTC,#AUDCHF_otc,SELL,1m,0.53583,0.53681,LOSS,-0.18289,2026-03-26 08:53:53,level_bounce,56.8
AUD/CAD OTC,#AUDCAD_otc,BUY,1m,0.98636,0.98729,WIN,0.09429,2026-03-26 08:55:33,level_breakout,63.4
AUD/NZD OTC,#AUDNZD_otc,BUY,1m,1.17779,1.17922,WIN,0.12141,2026-03-26 08:55:33,level_bounce,61.9
CAD/CHF OTC,#CADCHF_otc,BUY,1m,0.60727,0.6075,WIN,0.03787,2026-03-26 08:55:33,level_breakout,57.7
BHD/CNY OTC,#BHDCNY_otc,SELL,1m,18.42842,18.4318,LOSS,-0.01834,2026-03-26 08:56:23,level_bounce,80
EUR/GBP OTC,#EURGBP_otc,BUY,1m,0.86871,0.86872,WIN,0.00115,2026-03-26 08:56:23,ema_bounce,60.7
NZD/JPY OTC,#NZDJPY_otc,BUY,1m,100.484,100.564,WIN,0.07961,2026-03-26 08:56:23,ema_bounce,61.9
EUR/JPY OTC,#EURJPY_otc,BUY,1m,186.832,186.836,WIN,0.00214,2026-03-26 08:57:13,level_bounce,75
EUR/USD OTC,#EURUSD_otc,SELL,1m,1.14463,1.14433,WIN,0.02621,2026-03-26 08:58:03,level_bounce,63.4
CAD/JPY OTC,#CADJPY_otc,BUY,1m,121.898,121.776,LOSS,-0.10008,2026-03-26 08:58:03,level_breakout,57.7
EUR/CHF OTC,#EURCHF_otc,SELL,1m,0.91053,0.9121,LOSS,-0.17243,2026-03-26 08:58:03,level_breakout,61.9
KES/USD OTC,#KESUSD_otc,BUY,1m,0.007013,0.006913,LOSS,-1.42592,2026-03-26 08:58:03,ema_bounce,60.9
AUD/USD OTC,#AUDUSD_otc,SELL,1m,0.71171,0.71193,LOSS,-0.03091,2026-03-26 08:58:53,level_breakout,63.1
GBP/USD OTC,#GBPUSD_otc,BUY,1m,1.35553,1.35505,LOSS,-0.03541,2026-03-26 08:58:53,ema_bounce,66.2
CHF/JPY OTC,#CHFJPY_otc,BUY,1m,209.822,209.758,LOSS,-0.0305,2026-03-26 08:58:53,ema_bounce,58.2
AUD/NZD OTC,#AUDNZD_otc,BUY,1m,1.18075,1.1802,LOSS,-0.04658,2026-03-26 08:59:43,level_breakout,61.9
AED/CNY OTC,#AEDCNY_otc,BUY,1m,1.77175,1.77094,LOSS,-0.04572,2026-03-26 08:59:43,level_bounce,57.1
USD/CAD OTC,#USDCAD_otc,BUY,1m,1.41177,1.41189,WIN,0.0085,2026-03-26 08:59:43,ema_bounce,61.9
EUR/GBP OTC,#EURGBP_otc,BUY,1m,0.86899,0.86925,WIN,0.02992,2026-03-26 08:59:43,ema_bounce,60.9
AUD/CHF OTC,#AUDCHF_otc,SELL,1m,0.53579,0.53573,WIN,0.0112,2026-03-26 08:59:43,level_breakout,57.4
NZD/JPY OTC,#NZDJPY_otc,BUY,1m,100.636,100.665,WIN,0.02882,2026-03-26 08:59:43,level_breakout,57.7
