id;outcome_id;timestamp_signal;pair;symbol;direction;expiry;entry_price;pattern_winner;final_score;raw_pattern_score;direction_gap;regime;countertrend;n_bars_15s;n_bars_1m;n_bars_5m;score_gap;filter_penalty;nearest_support;dist_to_support_pct;nearest_resistance;dist_to_resistance_pct;level_count_sup;level_count_res;impulse_len;pullback_len;retracement_pct;confirm_ratio;lr_level_price;lr_touches;lr_fresh;lr_wick_ratio;lr_room_pct;fb_level_price;fb_side;fb_reclaim_type;fb_bars_ago;no_room_decision;opposite_level_class;dead_market;exhaustion;noisy;range_penalty;close_price;result;pnl_pct;resolved_at;source
1099;;2026-03-25T20:23:01.263187;USD/CHF OTC;#USDCHF_otc;BUY;1m;0.78155;ema_bounce;;;;TRENDING_UP;0;;;;;;0.779227;0.2972;0.78186;0.0397;1;1;;;;;;;;;;;;;;n/a;n/a;0;0;0;0;0.78154;LOSS;-0.00128;2026-03-25T20:24:41.204561;paper
1098;;2026-03-25T20:23:01.260386;EUR/JPY OTC;#EURJPY_otc;BUY;1m;184.896;level_breakout;;;;TRENDING_UP;0;;;;;;184.569909;0.1764;184.925;0.0157;1;1;;;;;;;;;;;;;;n/a;n/a;0;0;0;0;184.907;WIN;0.00595;2026-03-25T20:24:41.203835;paper
1097;;2026-03-25T20:23:01.262426;CAD/JPY OTC;#CADJPY_otc;SELL;1m;120.471;level_bounce;;;;RANGE;0;;;;;;120.432043;0.0323;120.639556;0.1399;1;1;;;;;;;;;;;;;;n/a;n/a;0;0;0;0;120.494;LOSS;-0.01909;2026-03-25T20:24:41.204178;paper
1096;;2026-03-25T20:23:01.262040;CAD/CHF OTC;#CADCHF_otc;SELL;1m;0.58149;ema_bounce;;;;TRENDING_DOWN;0;;;;;;0.578363;0.5378;0.583274;0.3068;1;2;;;;;;;;;;;;;;n/a;n/a;0;0;0;0;0.58254;LOSS;-0.18057;2026-03-25T20:24:41.204045;paper
1095;;2026-03-25T20:23:01.264685;CHF/JPY OTC;#CHFJPY_otc;SELL;1m;209.163;ema_bounce;;;;TRENDING_DOWN;0;;;;;;209.054;0.0521;209.5064;0.1642;1;1;;;;;;;;;;;;;;n/a;n/a;0;0;0;0;209.245;LOSS;-0.0392;2026-03-25T20:24:41.204693;paper
1094;;2026-03-25T20:22:11.277625;GBP/JPY OTC;#GBPJPY_otc;BUY;1m;235.116;ema_bounce;;;;TRENDING_UP;0;;;;;;234.69912;0.1773;235.129;0.0055;1;1;;;;;;;;;;;;;;n/a;n/a;0;0;0;0;235.135;WIN;0.00808;2026-03-25T20:23:51.276709;paper
1093;;2026-03-25T20:22:11.281079;NZD/USD OTC;#NZDUSD_otc;BUY;1m;0.5998;ema_bounce;;;;TRENDING_UP;0;;;;;;0.59899;0.135;0.60081;0.1685;1;1;;;;;;;;;;;;;;n/a;n/a;0;0;0;0;0.59933;LOSS;-0.07836;2026-03-25T20:23:51.278575;paper
1092;;2026-03-25T20:22:11.280068;KES/USD OTC;#KESUSD_otc;BUY;1m;0.007777;ema_bounce;;;;RANGE;0;;;;;;0.007777;0.0;0.007795;0.2315;7;7;;;;;;;;;;;;;;n/a;n/a;0;0;0;0;0.007793;WIN;0.20573;2026-03-25T20:23:51.277380;paper
1091;;2026-03-25T20:22:11.280702;USD/JPY OTC;#USDJPY_otc;BUY;1m;156.166;ema_bounce;;;;TRENDING_UP;0;;;;;;156.095;0.0455;156.359312;0.1238;1;1;;;;;;;;;;;;;;n/a;n/a;0;0;0;0;156.227;WIN;0.03906;2026-03-25T20:23:51.277791;paper
1090;;2026-03-25T20:22:11.280336;GBP/USD OTC;#GBPUSD_otc;BUY;1m;1.33746;level_bounce;;;;RANGE;0;;;;;;1.33721;0.0187;1.339302;0.1377;1;1;;;;;;;;;;;;;;n/a;n/a;0;0;0;0;1.33762;WIN;0.01196;2026-03-25T20:23:51.277532;paper
1089;;2026-03-25T20:22:11.279584;EUR/CHF OTC;#EURCHF_otc;BUY;1m;0.92943;ema_bounce;;;;TRENDING_UP;0;;;;;;0.927666;0.1898;0.929387;0.0;1;1;;;;;;;;;;;;;;n/a;n/a;0;0;0;0;0.93016;WIN;0.07854;2026-03-25T20:23:51.277177;paper
1088;;2026-03-25T20:20:31.241845;USD/CAD OTC;#USDCAD_otc;BUY;1m;1.40032;level_breakout;;;;TRENDING_UP;0;;;;;;1.397633;0.1919;1.40043;0.0079;1;1;;;;;;;;;;;;;;n/a;n/a;0;0;0;0;1.4001;LOSS;-0.01571;2026-03-25T20:22:11.276784;paper
1087;;2026-03-25T20:20:31.240422;AED/CNY OTC;#AEDCNY_otc;SELL;1m;1.77924;ema_bounce;;;;RANGE;0;;;;;;1.777502;0.0977;1.78044;0.0675;1;2;;;;;;;;;;;;;;n/a;n/a;0;0;0;0;1.78144;LOSS;-0.12365;2026-03-25T20:22:11.276552;paper
1086;;2026-03-25T20:20:31.242666;AUD/CHF OTC;#AUDCHF_otc;SELL;1m;0.55637;ema_bounce;;;;RANGE;0;;;;;;0.554611;0.3162;0.558083;0.3079;1;4;;;;;;;;;;;;;;n/a;n/a;0;0;0;0;0.55729;LOSS;-0.16536;2026-03-25T20:22:11.276933;paper
1085;;2026-03-25T20:19:41.269824;GBP/AUD OTC;#GBPAUD_otc;BUY;1m;1.93145;ema_bounce;;;;TRENDING_UP;0;;;;;;1.927963;0.1805;1.93148;0.0016;1;1;;;;;;;;;;;;;;n/a;n/a;0;0;0;0;1.93035;LOSS;-0.05695;2026-03-25T20:21:21.238287;paper
1084;;2026-03-25T20:19:41.272108;AUD/JPY OTC;#AUDJPY_otc;SELL;1m;111.44;level_bounce;;;;TRENDING_DOWN;0;;;;;;111.314667;0.1125;111.487435;0.0426;1;1;;;;;;;;;;;;;;n/a;n/a;0;0;0;0;111.44;draw;0.0;2026-03-25T20:21:21.239187;paper
1083;;2026-03-25T20:19:41.267873;EUR/USD OTC;#EURUSD_otc;BUY;1m;1.13789;level_bounce;;;;RANGE;0;;;;;;1.13753;0.0316;1.138943;0.0926;1;1;;;;;;;;;;;;;;n/a;n/a;0;0;0;0;1.13789;draw;0.0;2026-03-25T20:21:21.237854;paper
1082;;2026-03-25T20:19:41.268649;AUD/CAD OTC;#AUDCAD_otc;BUY;1m;0.95968;ema_bounce;;;;TRENDING_UP;0;;;;;;0.958034;0.1715;0.963017;0.3477;1;1;;;;;;;;;;;;;;n/a;n/a;0;0;0;0;0.96034;WIN;0.06877;2026-03-25T20:21:21.238114;paper
1081;;2026-03-25T20:19:41.271252;USD/CHF OTC;#USDCHF_otc;BUY;1m;0.78059;ema_bounce;;;;RANGE;0;;;;;;0.779227;0.1745;0.780603;0.0017;1;1;;;;;;;;;;;;;;n/a;n/a;0;0;0;0;0.78165;WIN;0.13579;2026-03-25T20:21:21.239011;paper
1080;;2026-03-25T20:18:51.279948;USD/JPY OTC;#USDJPY_otc;SELL;1m;156.103;ema_bounce;;;;TRENDING_DOWN;0;;;;;;156.081;0.0141;156.393875;0.1863;1;1;;;;;;;;;;;;;;n/a;n/a;0;0;0;0;156.137;LOSS;-0.02178;2026-03-25T20:20:31.238551;paper
1079;;2026-03-25T20:18:51.277009;EUR/JPY OTC;#EURJPY_otc;BUY;1m;184.869;ema_bounce;;;;TRENDING_UP;0;;;;;;184.53255;0.182;184.869;0.0;1;1;;;;;;;;;;;;;;n/a;n/a;0;0;0;0;184.873;WIN;0.00216;2026-03-25T20:20:31.238206;paper
1078;;2026-03-25T20:18:51.282293;CHF/JPY OTC;#CHFJPY_otc;SELL;1m;209.247;ema_bounce;;;;RANGE;0;;;;;;209.251579;0.0;209.4981;0.12;1;1;;;;;;;;;;;;;;n/a;n/a;0;0;0;0;209.194;WIN;0.02533;2026-03-25T20:20:31.238997;paper
1077;;2026-03-25T20:18:51.280746;NZD/USD OTC;#NZDUSD_otc;SELL;1m;0.59902;ema_bounce;;;;TRENDING_DOWN;0;;;;;;0.59886;0.0267;0.600904;0.3145;1;1;;;;;;;;;;;;;;n/a;n/a;0;0;0;0;0.59965;LOSS;-0.10517;2026-03-25T20:20:31.238839;paper
1076;;2026-03-25T20:18:51.277352;GBP/JPY OTC;#GBPJPY_otc;SELL;1m;235.069;level_bounce;;;;RANGE;0;;;;;;234.703577;0.1555;235.115;0.0196;1;1;;;;;;;;;;;;;;n/a;n/a;0;0;0;0;235.013;WIN;0.02382;2026-03-25T20:20:31.238432;paper
1075;;2026-03-25T20:18:01.297211;CAD/JPY OTC;#CADJPY_otc;BUY;1m;120.407;level_bounce;;;;RANGE;0;;;;;;120.32;0.0723;120.656444;0.2072;1;1;;;;;;;;;;;;;;n/a;n/a;0;0;0;0;120.348;LOSS;-0.049;2026-03-25T20:19:41.267511;paper
1074;;2026-03-25T20:17:11.315181;CAD/CHF OTC;#CADCHF_otc;SELL;1m;0.58438;ema_bounce;;;;TRENDING_DOWN;0;;;;;;0.582618;0.3016;0.58532;0.1609;4;2;;;;;;;;;;;;;;n/a;n/a;0;0;0;0;0.58373;WIN;0.11123;2026-03-25T20:18:51.275390;paper
1073;;2026-03-25T20:17:11.315603;AED/CNY OTC;#AEDCNY_otc;BUY;1m;1.77933;ema_bounce;;;;RANGE;0;;;;;;1.777464;0.1049;1.780442;0.0625;1;2;;;;;;;;;;;;;;n/a;n/a;0;0;0;0;1.77937;WIN;0.00225;2026-03-25T20:18:51.276117;paper
1072;;2026-03-25T20:16:21.310460;EUR/CHF OTC;#EURCHF_otc;SELL;1m;0.92857;level_bounce;;;;RANGE;0;;;;;;0.927727;0.0907;0.92946;0.0959;1;2;;;;;;;;;;;;;;n/a;n/a;0;0;0;0;0.92866;LOSS;-0.00969;2026-03-25T20:18:01.293940;paper
1071;;2026-03-25T20:16:21.313796;NZD/JPY OTC;#NZDJPY_otc;SELL;1m;98.27;level_bounce;;;;RANGE;0;;;;;;98.1025;0.1704;98.624333;0.3606;1;1;;;;;;;;;;;;;;n/a;n/a;0;0;0;0;98.223;WIN;0.04783;2026-03-25T20:18:01.294542;paper
1070;;2026-03-25T20:16:21.310930;GBP/AUD OTC;#GBPAUD_otc;BUY;1m;1.93055;ema_bounce;;;;TRENDING_UP;0;;;;;;1.928209;0.1213;1.930309;0.0;1;1;;;;;;;;;;;;;;n/a;n/a;0;0;0;0;1.9305;LOSS;-0.00259;2026-03-25T20:18:01.294208;paper
1069;;2026-03-25T20:16:21.312442;USD/CHF OTC;#USDCHF_otc;BUY;1m;0.78013;level_breakout;;;;TRENDING_UP;0;;;;;;0.779136;0.1274;0.780583;0.0581;1;1;;;;;;;;;;;;;;n/a;n/a;0;0;0;0;0.78075;WIN;0.07947;2026-03-25T20:18:01.294346;paper
1068;;2026-03-25T20:15:31.287310;AUD/JPY OTC;#AUDJPY_otc;SELL;1m;111.403;ema_bounce;;;;RANGE;0;;;;;;111.287643;0.1035;111.465913;0.0565;1;1;;;;;;;;;;;;;;n/a;n/a;0;0;0;0;111.451;LOSS;-0.04309;2026-03-25T20:17:11.312932;paper
1067;;2026-03-25T20:15:31.285636;USD/CAD OTC;#USDCAD_otc;SELL;1m;1.39942;ema_bounce;;;;RANGE;0;;;;;;1.397067;0.1682;1.40039;0.0693;1;1;;;;;;;;;;;;;;n/a;n/a;0;0;0;0;1.39959;LOSS;-0.01215;2026-03-25T20:17:11.312696;paper
